 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,cells_watershed.png,319.234,185.148,13.053,0.616,1.855,0.539,0.910
2,cells_watershed.png,700.197,485.660,23.597,0.537,1.290,0.775,0.897
3,cells_watershed.png,328.914,384.726,23.938,0.509,2.032,0.492,0.879
4,cells_watershed.png,443.422,121.510,29.175,0.524,1.865,0.536,0.904
5,cells_watershed.png,289.649,312.379,28.971,0.825,1.444,0.692,0.954
6,cells_watershed.png,574.184,233.843,34.192,0.558,1.227,0.815,0.923
7,cells_watershed.png,346.994,343.600,44.601,0.756,1.698,0.589,0.946
8,cells_watershed.png,792.972,430.178,51.841,0.407,1.231,0.813,0.880
9,cells_watershed.png,326.722,184.267,46.922,0.446,1.155,0.866,0.866
10,cells_watershed.png,264.081,36.415,57.442,0.805,1.669,0.599,0.951
11,cells_watershed.png,425.707,291.080,60.771,0.717,1.635,0.611,0.935
12,cells_watershed.png,399.226,370.691,68.471,0.777,1.243,0.805,0.935
13,cells_watershed.png,329.827,616.854,72.502,0.489,2.167,0.462,0.868
14,cells_watershed.png,401.782,116.589,74.904,0.686,1.070,0.934,0.930
15,cells_watershed.png,449.814,175.192,77.521,0.700,1.445,0.692,0.932
16,cells_watershed.png,510.629,154.132,82.633,0.486,2.081,0.481,0.908
17,cells_watershed.png,788.041,211.598,81.545,0.563,1.673,0.598,0.879
18,cells_watershed.png,161.809,66.768,82.487,0.654,1.440,0.695,0.884
19,cells_watershed.png,292.936,61.414,92.665,0.568,2.568,0.389,0.875
20,cells_watershed.png,412.923,401.868,96.059,0.581,2.519,0.397,0.910
21,cells_watershed.png,790.598,262.967,98.158,0.419,2.061,0.485,0.893
22,cells_watershed.png,202.352,78.268,91.386,0.772,1.068,0.937,0.914
23,cells_watershed.png,748.229,462.003,93.430,0.651,1.703,0.587,0.926
24,cells_watershed.png,713.164,308.399,104.449,0.570,1.191,0.840,0.896
25,cells_watershed.png,445.796,150.061,103.426,0.582,2.387,0.419,0.913
26,cells_watershed.png,441.595,360.555,99.165,0.751,1.257,0.795,0.928
27,cells_watershed.png,327.270,16.826,97.336,0.493,1.392,0.718,0.841
28,cells_watershed.png,391.007,107.660,104.212,0.516,1.338,0.747,0.898
29,cells_watershed.png,445.796,412.592,117.538,0.443,2.803,0.357,0.877
30,cells_watershed.png,379.684,513.368,118.184,0.587,1.620,0.617,0.905
31,cells_watershed.png,94.967,395.436,116.259,0.509,1.225,0.816,0.768
32,cells_watershed.png,382.241,89.740,123.489,0.749,1.264,0.791,0.941
33,cells_watershed.png,656.366,288.291,124.993,0.448,1.909,0.524,0.823
34,cells_watershed.png,477.391,35.626,123.659,0.571,1.754,0.570,0.904
35,cells_watershed.png,440.500,457.496,124.458,0.645,2.130,0.469,0.939
36,cells_watershed.png,526.883,206.116,138.835,0.461,1.802,0.555,0.879
37,cells_watershed.png,514.464,72.077,142.128,0.547,1.365,0.732,0.882
38,cells_watershed.png,1152.385,294.787,146.515,0.473,1.693,0.591,0.893
39,cells_watershed.png,380.780,537.844,141.014,0.723,1.728,0.579,0.936
40,cells_watershed.png,425.707,165.302,145.223,0.520,1.411,0.709,0.907
41,cells_watershed.png,722.113,453.950,154.899,0.574,1.437,0.696,0.892
42,cells_watershed.png,180.985,612.081,146.912,0.472,1.288,0.776,0.852
43,cells_watershed.png,568.340,381.199,160.206,0.593,2.114,0.473,0.928
44,cells_watershed.png,487.070,52.875,159.984,0.524,1.562,0.640,0.880
45,cells_watershed.png,331.105,597.199,160.059,0.516,1.838,0.544,0.892
46,cells_watershed.png,547.155,493.997,167.561,0.471,1.619,0.618,0.902
47,cells_watershed.png,527.613,418.198,170.137,0.552,1.734,0.577,0.933
48,cells_watershed.png,253.853,137.831,166.786,0.425,1.884,0.531,0.762
49,cells_watershed.png,719.738,166.601,174.704,0.504,1.033,0.968,0.905
50,cells_watershed.png,394.112,80.138,175.236,0.640,2.128,0.470,0.924
51,cells_watershed.png,880.817,278.578,179.263,0.598,1.655,0.604,0.916
52,cells_watershed.png,411.644,532.231,175.623,0.695,1.199,0.834,0.927
53,cells_watershed.png,454.379,214.536,179.499,0.551,1.361,0.735,0.899
54,cells_watershed.png,321.974,139.089,180.163,0.634,1.664,0.601,0.878
55,cells_watershed.png,521.039,244.099,187.987,0.688,1.585,0.631,0.926
56,cells_watershed.png,395.025,588.683,187.351,0.525,1.586,0.631,0.885
57,cells_watershed.png,272.847,34.446,190.022,0.530,1.118,0.894,0.845
58,cells_watershed.png,189.751,19.416,189.855,0.780,1.117,0.895,0.931
59,cells_watershed.png,654.905,148.832,201.438,0.518,1.369,0.730,0.871
60,cells_watershed.png,544.780,100.824,205.355,0.625,1.671,0.599,0.914
61,cells_watershed.png,737.636,176.104,203.417,0.502,1.191,0.840,0.879
62,cells_watershed.png,584.593,414.629,204.114,0.645,1.791,0.558,0.934
63,cells_watershed.png,533.823,239.062,212.304,0.736,1.728,0.579,0.947
64,cells_watershed.png,923.004,312.431,220.017,0.592,1.719,0.582,0.903
65,cells_watershed.png,324.348,34.206,207.517,0.501,1.764,0.567,0.859
66,cells_watershed.png,743.115,454.326,223.950,0.644,1.520,0.658,0.928
67,cells_watershed.png,440.682,609.695,222.976,0.653,1.147,0.872,0.915
68,cells_watershed.png,618.928,512.110,226.867,0.442,1.495,0.669,0.895
69,cells_watershed.png,672.986,25.070,225.204,0.547,2.182,0.458,0.913
70,cells_watershed.png,585.324,165.330,229.845,0.701,1.157,0.865,0.909
71,cells_watershed.png,440.134,129.443,229.707,0.432,1.208,0.828,0.853
72,cells_watershed.png,938.162,264.329,243.636,0.477,1.849,0.541,0.866
73,cells_watershed.png,427.168,364.772,235.678,0.507,1.483,0.674,0.889
74,cells_watershed.png,788.589,557.440,247.833,0.468,1.561,0.640,0.863
75,cells_watershed.png,704.032,190.719,250.938,0.429,1.082,0.924,0.892
76,cells_watershed.png,931.953,416.134,259.847,0.525,1.267,0.789,0.900
77,cells_watershed.png,464.424,478.256,259.196,0.565,1.080,0.926,0.878
78,cells_watershed.png,535.649,168.488,262.574,0.568,1.242,0.805,0.906
79,cells_watershed.png,329.827,105.812,263.120,0.488,1.372,0.729,0.836
80,cells_watershed.png,567.426,214.202,270.800,0.789,1.231,0.812,0.951
81,cells_watershed.png,413.105,24.826,273.080,0.528,2.188,0.457,0.854
82,cells_watershed.png,896.157,358.214,270.926,0.515,2.432,0.411,0.924
83,cells_watershed.png,524.143,447.649,273.176,0.420,1.070,0.935,0.872
84,cells_watershed.png,824.019,527.120,274.627,0.576,1.261,0.793,0.935
85,cells_watershed.png,390.094,76.960,276.650,0.605,1.478,0.676,0.911
86,cells_watershed.png,460.771,43.718,283.875,0.597,1.729,0.578,0.924
87,cells_watershed.png,597.560,292.750,283.392,0.661,1.904,0.525,0.932
88,cells_watershed.png,578.932,474.898,291.802,0.690,1.561,0.640,0.938
89,cells_watershed.png,480.861,142.801,301.889,0.515,1.136,0.880,0.877
90,cells_watershed.png,403.426,530.159,308.935,0.467,2.254,0.444,0.869
91,cells_watershed.png,431.551,108.556,311.452,0.719,1.469,0.681,0.931
92,cells_watershed.png,417.854,68.691,311.448,0.404,1.432,0.698,0.863
93,cells_watershed.png,644.496,242.944,319.392,0.528,1.898,0.527,0.894
94,cells_watershed.png,604.683,437.090,316.594,0.504,1.909,0.524,0.880
95,cells_watershed.png,695.449,298.114,319.462,0.691,1.615,0.619,0.942
96,cells_watershed.png,452.736,489.270,325.799,0.732,1.665,0.600,0.943
97,cells_watershed.png,469.720,573.692,340.661,0.440,2.206,0.453,0.884
98,cells_watershed.png,647.783,163.596,345.504,0.504,2.376,0.421,0.898
99,cells_watershed.png,816.166,268.716,342.079,0.422,1.366,0.732,0.871
100,cells_watershed.png,586.968,131.666,343.418,0.407,1.796,0.557,0.877
101,cells_watershed.png,664.767,76.381,343.057,0.659,1.379,0.725,0.919
102,cells_watershed.png,857.075,387.144,362.979,0.512,2.275,0.440,0.923
103,cells_watershed.png,452.553,427.298,362.352,0.643,1.441,0.694,0.923
104,cells_watershed.png,441.778,511.388,366.530,0.521,1.546,0.647,0.890
