 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,cells_unedited.png,236.869,330.625,7.017,0.762,1.521,0.658,0.962
2,cells_unedited.png,285.631,426.975,8.198,0.422,1.131,0.884,0.860
3,cells_unedited.png,275.951,525.931,7.230,0.618,1.387,0.721,0.901
4,cells_unedited.png,115.786,368.772,10.031,0.374,1.527,0.655,0.719
5,cells_unedited.png,301.519,185.252,13.026,0.570,1.891,0.529,0.893
6,cells_unedited.png,637.373,485.342,24.054,0.417,1.366,0.732,0.866
7,cells_unedited.png,324.531,384.427,23.757,0.601,1.888,0.530,0.887
8,cells_unedited.png,191.760,370.779,22.276,0.424,1.358,0.736,0.792
9,cells_unedited.png,415.845,121.169,29.168,0.540,1.961,0.510,0.913
10,cells_unedited.png,277.778,312.379,28.949,0.818,1.460,0.685,0.946
11,cells_unedited.png,552.268,233.945,34.242,0.449,1.236,0.809,0.924
12,cells_unedited.png,325.809,343.686,44.535,0.736,1.754,0.570,0.939
13,cells_unedited.png,729.966,430.550,51.647,0.277,1.371,0.729,0.853
14,cells_unedited.png,300.058,184.452,46.590,0.427,1.249,0.801,0.848
15,cells_unedited.png,254.584,36.406,57.494,0.785,1.697,0.589,0.942
16,cells_unedited.png,482.322,463.324,66.160,0.234,1.163,0.860,0.771
17,cells_unedited.png,403.243,291.030,60.691,0.671,1.662,0.602,0.927
18,cells_unedited.png,384.433,370.713,68.425,0.755,1.245,0.803,0.929
19,cells_unedited.png,286.909,616.492,72.451,0.526,2.365,0.423,0.872
20,cells_unedited.png,367.266,116.525,74.623,0.656,1.047,0.955,0.913
21,cells_unedited.png,422.967,175.128,77.236,0.716,1.413,0.708,0.926
22,cells_unedited.png,486.522,153.981,82.431,0.547,2.046,0.489,0.910
23,cells_unedited.png,368.727,220.591,80.951,0.710,1.392,0.719,0.906
24,cells_unedited.png,379.137,202.872,82.203,0.673,1.448,0.691,0.877
25,cells_unedited.png,152.312,66.699,82.755,0.675,1.500,0.667,0.885
26,cells_unedited.png,867.302,337.948,101.616,0.335,1.746,0.573,0.841
27,cells_unedited.png,284.535,61.303,92.530,0.560,2.553,0.392,0.871
28,cells_unedited.png,410.731,401.848,96.881,0.543,2.690,0.372,0.894
29,cells_unedited.png,746.402,262.886,98.290,0.396,2.093,0.478,0.878
30,cells_unedited.png,195.412,78.084,91.390,0.803,1.075,0.930,0.920
31,cells_unedited.png,381.693,469.829,94.438,0.541,1.174,0.852,0.883
32,cells_unedited.png,320.513,452.637,92.421,0.729,1.276,0.784,0.948
33,cells_unedited.png,693.257,308.454,104.719,0.539,1.198,0.835,0.893
34,cells_unedited.png,422.419,150.023,103.437,0.526,2.425,0.412,0.922
35,cells_unedited.png,424.794,360.515,99.170,0.786,1.250,0.800,0.930
36,cells_unedited.png,268.829,16.775,96.929,0.338,1.368,0.731,0.791
37,cells_unedited.png,349.916,108.035,103.914,0.450,1.349,0.741,0.888
38,cells_unedited.png,763.021,200.913,109.188,0.442,1.706,0.586,0.872
39,cells_unedited.png,408.540,412.909,116.692,0.483,2.635,0.379,0.894
40,cells_unedited.png,363.430,513.337,118.224,0.587,1.605,0.623,0.903
41,cells_unedited.png,368.727,89.718,123.562,0.788,1.269,0.788,0.944
42,cells_unedited.png,681.021,289.028,125.694,0.508,1.709,0.585,0.863
43,cells_unedited.png,898.349,327.366,136.787,0.377,1.706,0.586,0.837
44,cells_unedited.png,441.413,35.767,123.838,0.576,1.841,0.543,0.885
45,cells_unedited.png,424.428,457.603,124.443,0.688,2.132,0.469,0.943
46,cells_unedited.png,483.783,205.522,139.144,0.489,1.654,0.605,0.896
47,cells_unedited.png,483.600,72.233,142.033,0.602,1.400,0.714,0.890
48,cells_unedited.png,541.493,306.204,146.362,0.558,1.318,0.758,0.887
49,cells_unedited.png,365.622,537.753,140.996,0.701,1.730,0.578,0.933
50,cells_unedited.png,479.947,124.617,147.867,0.470,2.103,0.476,0.862
51,cells_unedited.png,395.390,165.520,144.890,0.537,1.372,0.729,0.921
52,cells_unedited.png,500.037,284.185,147.315,0.509,1.200,0.833,0.908
53,cells_unedited.png,150.121,612.154,146.999,0.499,1.156,0.865,0.833
54,cells_unedited.png,690.701,454.167,154.921,0.460,1.447,0.691,0.894
55,cells_unedited.png,543.685,381.409,160.342,0.521,2.129,0.470,0.926
56,cells_unedited.png,458.945,52.817,160.010,0.446,1.541,0.649,0.864
57,cells_unedited.png,299.693,597.922,159.843,0.445,2.127,0.470,0.825
58,cells_unedited.png,501.132,493.800,167.885,0.564,1.707,0.586,0.910
