 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,Screenshot 2023-05-25 085110.png,6153,842.926,73.548,0.725,1.872,0.534,0.944
2,Screenshot 2023-05-25 085110.png,8933,380.858,72.949,0.810,1.047,0.955,0.968
3,Screenshot 2023-05-25 085110.png,8370,689.665,75.500,0.711,1.586,0.631,0.951
4,Screenshot 2023-05-25 085110.png,5985,232.012,77.511,0.799,1.331,0.751,0.962
5,Screenshot 2023-05-25 085110.png,4050,75.349,73.115,0.753,1.188,0.842,0.958
6,Screenshot 2023-05-25 085110.png,4093,534.086,77.337,0.835,1.199,0.834,0.966
7,Screenshot 2023-05-25 085110.png,10835,383.215,224.136,0.804,1.296,0.772,0.963
8,Screenshot 2023-05-25 085110.png,6608,690.829,223.346,0.614,1.370,0.730,0.915
9,Screenshot 2023-05-25 085110.png,5429,226.055,228.997,0.764,1.144,0.874,0.939
10,Screenshot 2023-05-25 085110.png,5280,534.058,226.686,0.802,1.052,0.951,0.968
11,Screenshot 2023-05-25 085110.png,5514,838.953,226.303,0.816,1.175,0.851,0.966
12,Screenshot 2023-05-25 085110.png,4535,78.134,227.332,0.742,1.569,0.637,0.935
13,Screenshot 2023-05-25 085110.png,10757,843.827,380.134,0.487,1.399,0.715,0.920
14,Screenshot 2023-05-25 085110.png,8852,381.341,389.745,0.740,1.581,0.633,0.942
15,Screenshot 2023-05-25 085110.png,6769,537.662,385.662,0.752,1.174,0.852,0.941
16,Screenshot 2023-05-25 085110.png,5528,78.022,384.306,0.757,1.350,0.741,0.966
17,Screenshot 2023-05-25 085110.png,4042,689.270,383.373,0.736,1.529,0.654,0.944
18,Screenshot 2023-05-25 085110.png,3217,227.192,385.836,0.822,1.453,0.688,0.959
19,Screenshot 2023-05-25 085110.png,13555,533.581,536.136,0.759,1.132,0.883,0.957
20,Screenshot 2023-05-25 085110.png,11751,231.197,537.050,0.731,1.570,0.637,0.925
21,Screenshot 2023-05-25 085110.png,8087,79.502,534.360,0.841,1.071,0.933,0.974
22,Screenshot 2023-05-25 085110.png,4849,384.524,537.219,0.663,1.116,0.896,0.885
23,Screenshot 2023-05-25 085110.png,3192,844.551,534.520,0.728,1.592,0.628,0.949
24,Screenshot 2023-05-25 085110.png,3357,689.993,537.743,0.713,1.346,0.743,0.934
25,Screenshot 2023-05-25 085110.png,13947,537.387,688.503,0.763,1.121,0.892,0.937
26,Screenshot 2023-05-25 085110.png,7775,843.130,685.255,0.861,1.202,0.832,0.980
27,Screenshot 2023-05-25 085110.png,5391,220.090,687.470,0.783,1.257,0.795,0.964
28,Screenshot 2023-05-25 085110.png,4720,76.709,686.540,0.699,1.087,0.920,0.899
29,Screenshot 2023-05-25 085110.png,4353,690.786,687.866,0.657,1.127,0.887,0.884
30,Screenshot 2023-05-25 085110.png,2961,382.255,686.171,0.872,1.084,0.922,0.963
31,Screenshot 2023-05-25 085110.png,15288,384.186,840.824,0.869,1.066,0.938,0.979
32,Screenshot 2023-05-25 085110.png,10647,230.198,841.576,0.630,1.291,0.774,0.916
33,Screenshot 2023-05-25 085110.png,6468,538.131,844.497,0.756,1.783,0.561,0.944
34,Screenshot 2023-05-25 085110.png,5365,72.633,838.753,0.831,1.150,0.870,0.963
35,Screenshot 2023-05-25 085110.png,3816,847.449,842.688,0.767,1.606,0.623,0.961
36,Screenshot 2023-05-25 085110.png,4394,688.411,842.462,0.751,1.548,0.646,0.950
