 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,retina_orig.png,6,702.000,229.000,0.809,2.082,0.480,0.857
2,retina_orig.png,21,620.976,231.976,0.943,1.305,0.766,0.857
3,retina_orig.png,17,872.912,299.618,1.000,1.263,0.792,0.919
4,retina_orig.png,13,779.962,306.346,1.000,1.148,0.871,0.897
5,retina_orig.png,11,746.682,344.955,1.000,1.450,0.689,0.846
6,retina_orig.png,23,731.630,352.022,0.964,1.576,0.634,0.902
7,retina_orig.png,25,782.060,357.300,1.000,1.312,0.762,0.926
8,retina_orig.png,9,862.944,369.611,1.000,1.817,0.550,0.857
9,retina_orig.png,19,785.026,377.132,1.000,1.343,0.744,0.884
10,retina_orig.png,15,582.900,377.100,1.000,1.137,0.880,0.968
11,retina_orig.png,20,797.250,377.550,1.000,1.282,0.780,0.909
12,retina_orig.png,8,753.500,379.250,0.914,1.554,0.644,0.800
13,retina_orig.png,68,588.868,383.426,0.803,1.226,0.815,0.819
14,retina_orig.png,27,808.278,381.463,0.993,1.147,0.872,0.947
15,retina_orig.png,8,860.375,381.375,1.000,1.229,0.814,0.941
16,retina_orig.png,31,870.500,386.887,0.717,2.473,0.404,0.849
17,retina_orig.png,31,786.887,386.984,0.738,2.130,0.469,0.756
18,retina_orig.png,10,794.400,385.700,0.887,1.690,0.592,0.833
19,retina_orig.png,15,529.900,386.900,1.000,1.137,0.880,0.968
20,retina_orig.png,22,746.000,388.227,1.000,1.176,0.850,0.880
21,retina_orig.png,7,799.500,395.786,1.000,1.069,0.936,0.875
22,retina_orig.png,7,457.786,398.500,1.000,1.069,0.936,0.875
23,retina_orig.png,5,967.700,404.100,1.000,1.553,0.644,0.909
24,retina_orig.png,24,835.333,411.000,0.809,1.684,0.594,0.828
25,retina_orig.png,26,574.000,420.077,0.993,1.268,0.788,0.867
26,retina_orig.png,7,895.071,430.786,0.943,1.936,0.517,0.933
27,retina_orig.png,8,556.375,437.625,1.000,1.229,0.814,0.941
28,retina_orig.png,6,886.500,440.000,1.000,1.500,0.667,1.000
29,retina_orig.png,6,929.500,442.000,1.000,1.500,0.667,1.000
30,retina_orig.png,49,859.582,457.500,0.901,1.646,0.608,0.916
