,perimeter,area,eccentricity,bbox-0,bbox-1,bbox-2,bbox-3
1,302.73506473629425,6698,0.12775594294362236,3,3,95,96
2,302.73506473629425,6689,0.1399082561793025,3,101,95,194
3,374.0904037956216,10134,0.06859876846439444,7,353,121,467
4,373.26197667087547,10103,0.1068935767379201,8,471,121,585
5,356.19090885901,9221,0.10080901159703788,18,220,126,329
6,296.8355697996826,6397,0.15615569288551165,129,16,219,106
7,296.24978336205567,6434,0.1706507680249341,129,112,219,202
8,339.7056274847714,8408,0.11857140923770453,143,444,246,548
9,341.1198410471445,8441,0.1184928629745284,143,553,246,657
10,255.9655121145938,4621,0.12143029219988885,166,247,244,323
11,250.45079348883235,4563,0.16795624397372325,167,328,243,405
