,perimeter,area,eccentricity,bbox-0,bbox-1,bbox-2,bbox-3
1,709.3107499061545,25553,0.8879869954381837,67,1648,352,1790
2,719.494516090228,29213,0.8509350287703121,68,65,353,219
3,698.8254685319158,23992,0.8982169524107702,68,1828,352,1963
4,733.1513703397204,29909,0.8408502499149034,69,654,353,814
5,720.5239533417508,27758,0.864316729275715,69,1454,353,1605
6,725.5950211536164,28399,0.8574047747876281,71,457,353,617
7,700.8670990922585,26664,0.8648752396756194,72,265,352,409
8,733.0092347159894,30087,0.8479304792584998,72,858,356,1020
9,711.6955262170047,27518,0.8607041235505251,73,1265,352,1417
10,723.6955262170047,29125,0.8496729449866492,74,1070,355,1225
11,732.7249634685276,27177,0.8888612186461544,382,69,675,216
12,720.5828278447966,25416,0.8949889750205756,386,262,677,399
13,742.2224381515858,30815,0.8557946639909684,387,448,677,612
14,723.8376618407356,28218,0.869763415910306,387,860,679,1009
15,727.3523804664972,29603,0.85209508682512,392,655,675,809
16,730.080302527855,28716,0.8628292249954672,392,1062,682,1215
17,718.9087296526011,28173,0.8652202014653967,395,1262,680,1413
18,750.1219330881976,27581,0.867047219164319,395,1455,678,1603
19,730.8498551495554,31056,0.8304516407160751,397,1648,682,1815
20,747.193000900063,32093,0.8226157812644629,397,1844,685,2013
21,739.2935059634515,30982,0.8366960226868679,732,40,1020,208
22,737.2935059634513,31323,0.820355783621165,733,244,1019,410
23,730.5655839020934,30143,0.8491544863616529,736,452,1025,609
24,714.1808075912434,26366,0.8777598817565037,736,864,1026,1005
25,722.7249634685276,27092,0.8918646925229659,736,1268,1030,1406
26,726.0803025278549,28586,0.8631453341875452,737,654,1026,807
27,729.6955262170047,27174,0.8793801280413067,737,1057,1031,1202
28,742.8082245892128,31401,0.8380917178247217,738,1649,1029,1814
29,723.2102448427662,27364,0.8779637971883195,739,1459,1030,1601
30,743.0508652763322,31110,0.8422964578746573,740,1848,1031,2012
31,511.91378028648455,17452,0.49072184235750094,1049,48,1194,210
32,463.00209204105306,13523,0.8017822980165837,1049,434,1219,543
33,535.0853531617383,16895,0.4829073229427359,1056,248,1196,410
34,1016.9331162702407,72521,0.4538145026829982,1068,634,1354,950
35,1188.6803743153546,61744,0.47600843194627596,1070,976,1358,1269
36,995.5432893255071,67355,0.4527437630779653,1070,1321,1355,1649
37,999.3006486383878,67485,0.5125218054004405,1076,1681,1356,2012
38,410.0904037956216,10119,0.8405882561591554,1201,524,1355,612
39,493.3868683519033,16893,0.4052459771138827,1207,46,1350,205
40,496.2569260369921,17053,0.4889946523382784,1209,243,1354,405
