,perimeter,area,eccentricity,bbox-0,bbox-1,bbox-2,bbox-3
1,36.04163056034261,83,0.624440141824701,0,81,10,94
2,25.79898987322333,57,0.565007179451655,37,379,47,388
3,43.941125496954285,95,0.890747783120979,73,696,82,713
4,53.94112549695428,164,0.8905997709349575,81,240,92,261
5,35.941125496954285,92,0.5543297114368841,83,98,95,112
6,47.941125496954285,164,0.7998123195243507,103,288,122,302
7,43.35533905932738,115,0.6194570479931992,104,106,119,119
8,55.35533905932738,224,0.7639524467903609,104,554,124,571
9,36.62741699796952,111,0.47188426915048276,136,494,148,507
10,40.2842712474619,123,0.684766229339596,149,265,165,277
11,33.45584412271571,88,0.42713462409060815,173,618,185,630
12,37.941125496954285,90,0.9077654529056701,198,127,212,141
13,37.941125496954285,89,0.9070514238184358,254,436,268,450
14,52.18376618407356,161,0.8736879190869867,272,177,289,195
15,30.627416997969522,78,0.5797352734252156,309,567,319,579
16,65.74011537017762,284,0.5725302470472117,318,93,342,113
17,21.313708498984763,29,0.8562550498962449,375,123,380,133
